library,logN,numSlots,q0,delta,residual_L,boot_depth,levelBudget_c2s,levelBudget_s2c,evalmod_levels,K,QCount_boot,logQ_boot,PCount_boot,logP_boot,logQP_boot,QCount_residual,logQ_residual,logP_residual,logQP_residual,dnum,maxDigitBits,margin_1747,mod1_degree,mod1_inv_degree,log_message_ratio,ephemeral_secret_weight,in_scale_log2,ok,fail_reason
openfhe,16,32768,53,52,13,18,2,2,14,512,,,,,,,,,,5,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 420 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,15,16,1,1,14,512,,,,,,,,,,5,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 420 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,22,4,4,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,3,4,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,4,3,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,11,20,3,3,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,13,18,2,2,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,15,16,1,1,14,512,,,,,,,,,,6,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 360 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,22,4,4,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,3,4,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,4,3,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,11,20,3,3,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,13,18,2,2,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,15,16,1,1,14,512,,,,,,,,,,7,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 300 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,22,4,4,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,3,4,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,4,3,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,11,20,3,3,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,13,18,2,2,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,15,16,1,1,14,512,,,,,,,,,,8,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 240 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,22,4,4,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,3,4,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,10,21,4,3,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,11,20,3,3,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,13,18,2,2,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,15,16,1,1,14,512,,,,,,,,,,11,,,,,1,,52,0,예측 탈락(§8.5 규칙4): logQ 1665 + 예측 logP 180 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,53,52,9,22,4,4,14,512,32,1665,2,120,1785,10,521,120,641,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,10,21,3,4,14,512,32,1665,2,120,1785,11,573,120,693,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,10,21,4,3,14,512,32,1665,2,120,1785,11,573,120,693,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,11,20,3,3,14,512,32,1665,2,120,1785,12,625,120,745,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,13,18,2,2,14,512,32,1665,2,120,1785,14,729,120,849,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,15,16,1,1,14,512,32,1665,2,120,1785,16,833,120,953,16,106,-38,,,1,,52,0,logQP_boot 1785 > 1747
openfhe,16,32768,53,52,9,22,4,4,14,512,32,1665,1,60,1725,10,521,60,581,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,10,21,3,4,14,512,32,1665,1,60,1725,11,573,60,633,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,10,21,4,3,14,512,32,1665,1,60,1725,11,573,60,633,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,11,20,3,3,14,512,32,1665,1,60,1725,12,625,60,685,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,13,18,2,2,14,512,32,1665,1,60,1725,14,729,60,789,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,15,16,1,1,14,512,32,1665,1,60,1725,16,833,60,893,32,53,22,,,1,,52,1,
openfhe,16,32768,53,52,10,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,11,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,11,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,12,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,14,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1717 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,11,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,12,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,12,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,13,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,15,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1769 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,12,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,13,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,13,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,14,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1821 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,13,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,14,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,14,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,15,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1873 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,14,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,15,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,15,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1925 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,15,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 1977 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,16,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2029 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,17,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2081 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,18,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2133 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,19,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2185 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,20,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2237 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,21,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2289 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,22,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2341 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,23,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2393 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,24,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,16,1,1,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2445 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,25,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2497 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2497 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2497 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2497 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2497 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,26,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2549 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2549 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2549 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2549 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,18,2,2,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2549 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,27,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2601 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2601 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2601 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2601 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,28,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2653 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2653 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2653 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,20,3,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2653 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,29,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2705 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,21,3,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2705 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,21,4,3,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2705 + 최소 logP 60 > 1747
openfhe,16,32768,53,52,30,22,4,4,14,512,,,,,,,,,,0,,,,,1,,52,0,상한 초과 확정: logQ_boot(명목) 2757 + 최소 logP 60 > 1747
openfhe,16,32768,54,52,3,16,1,1,14,512,,,,,,,,,,1,,,,,2,,52,0,예측 탈락(§8.5 규칙4): logQ 1042 + 예측 logP 1080 > 1747+60 → 컨텍스트 미생성
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,9,540,1582,4,210,540,750,2,522,165,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,7,420,1462,4,210,420,630,3,366,285,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,5,300,1342,4,210,300,510,4,262,405,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,4,240,1282,4,210,240,450,5,211,465,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,3,180,1222,4,210,180,390,7,158,525,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,2,120,1162,4,210,120,330,10,107,585,,,2,,52,1,
openfhe,16,32768,54,52,3,16,1,1,14,512,20,1042,1,60,1102,4,210,60,270,20,54,645,,,2,,52,1,
openfhe,16,32768,54,52,4,16,1,1,14,512,,,,,,,,,,1,,,,,2,,52,0,예측 탈락(§8.5 규칙4): logQ 1094 + 예측 logP 1140 > 1747+60 → 컨텍스트 미생성
